THETAO,PR,CHL,SO
7.676683769,4.30E-05,2.05E-07,33.88420435
7.069783019,3.74E-05,3.39E-07,33.73166259
7.150232918,3.61E-05,4.61E-07,33.81171273
8.069782116,2.80E-05,5.04E-07,33.47151899
10.06265928,2.38E-05,3.93E-07,33.23325657
12.99830164,1.92E-05,0.000000198,32.84790711
14.53420066,2.16E-05,1.64E-07,32.97498177
15.18465655,1.96E-05,0.000000164,33.13004698
14.53695335,1.69E-05,1.81E-07,33.16377962
12.71488869,3.85E-05,0.000000227,33.34138767
11.05332546,2.12E-05,1.92E-07,33.40849841
9.53111795,4.32E-05,1.64E-07,33.54398224
7.723825753,3.68E-05,2.11E-07,33.61808055
7.087457471,3.28E-05,3.44E-07,33.61535824
6.056066571,2.43E-05,5.03E-07,33.33660474
6.617087666,3.32E-05,5.50E-07,33.39987115
9.0451964,2.70E-05,3.55E-07,33.23145635
11.4611169,2.84E-05,2.24E-07,33.04102378
14.42698599,0.00002015,1.54E-07,32.92710379
15.10181381,2.62E-05,1.62E-07,33.18330577
14.39179462,2.46E-05,1.82E-07,33.26071708
13.0789144,3.86E-05,2.24E-07,33.36680297
11.09303197,4.74E-05,0.000000196,33.74333602
8.990583878,4.01E-05,1.59E-07,33.53181223
7.390938058,4.02E-05,2.02E-07,33.64054477
5.926902854,2.57E-05,0.000000377,33.48878178
5.911441856,2.98E-05,5.09E-07,33.51672472
6.980805124,0.000025342,5.17E-07,33.51522415
9.867154816,2.21E-05,3.42E-07,32.94318297
11.96616149,2.04E-05,2.28E-07,32.88881816
14.07819126,2.17E-05,1.69E-07,32.87164801
15.44606358,0.000021402,1.49E-07,32.98814253
14.53697477,0.00002966,1.93E-07,33.22897973
12.39545545,5.16E-05,2.37E-07,33.56184659
10.60699189,4.26E-05,2.01E-07,33.49130374
8.827163151,4.28E-05,1.70E-07,33.4995305
7.480760758,3.58E-05,2.25E-07,33.46536734
6.845536906,3.20E-05,3.26E-07,33.45490837
6.867876256,3.89E-05,4.51E-07,33.48332433
7.273355752,2.20E-05,4.96E-07,33.12751871
8.916554284,2.72E-05,3.84E-07,32.9523424
12.00996701,1.96E-05,0.000000219,32.56708293
14.26597417,2.90E-05,1.65E-07,32.59531844
15.49627022,2.37E-05,1.46E-07,32.53379401
14.7653046,2.18E-05,1.63E-07,32.69241699
13.0256168,4.40E-05,2.24E-07,33.06120355
10.37035218,3.43E-05,1.95E-07,33.00954846
8.868083956,5.50E-05,1.72E-07,33.61215677
8.024720824,2.50E-05,1.99E-07,33.62861583
7.58654139,3.18E-05,3.34E-07,33.59144808
7.200540369,4.20E-05,4.75E-07,33.34597796
8.045105484,2.35E-05,5.06E-07,33.0400723
10.22973028,2.33E-05,3.35E-07,32.91128399
13.10476316,2.29E-05,0.00000018,32.61859537
15.13232767,3.01E-05,1.59E-07,32.86344046
16.04681248,2.67E-05,1.49E-07,32.86300351
15.25347935,2.69E-05,1.78E-07,33.01555713
13.05844578,4.03E-05,2.19E-07,33.36017291
10.64950807,3.17E-05,2.07E-07,33.18151999
9.383056727,5.54E-05,1.63E-07,33.71789722
8.133837215,5.50E-05,2.12E-07,33.84043433
7.028422899,4.05E-05,3.40E-07,33.76841643
6.832395542,3.77E-05,4.63E-07,33.74102916
7.915440556,0.000024266,5.38E-07,33.48706933
9.821716788,3.42E-05,3.74E-07,33.22829434
12.76691442,1.79E-05,2.25E-07,32.85691429
14.43427578,1.99E-05,1.66E-07,32.74627441
14.83273735,2.12E-05,1.76E-07,33.03666488
14.46746942,2.31E-05,1.88E-07,33.12325035
13.1309171,4.07E-05,2.15E-07,33.29679614
10.74849904,0.000030528,1.87E-07,33.59114107
9.178825333,4.89E-05,1.59E-07,33.68311486
7.807918215,5.96E-05,0.000000207,34.00455081
7.164211847,3.41E-05,3.45E-07,34.07179548
7.284863913,2.77E-05,0.000000498,33.70631416
