Date,CHL (P2.5),CHL (P50),CHL (P97.5)
01 Jan 1993,1.5315517486593639e-06,1.5772882656031423e-06,1.6230247825469208e-06
01 Feb 1993,1.7347812502920005e-06,1.7597178998598944e-06,1.784654549427788e-06
01 Mar 1993,1.2769449843728158e-06,1.43070575925729e-06,1.584466534141764e-06
01 Apr 1993,4.7574434406476756e-07,8.724327201446866e-07,1.2691210962246055e-06
01 May 1993,5.674278492385968e-07,7.037939473690317e-07,8.401600454994667e-07
01 Jun 1993,4.118106651697218e-07,4.928926676677432e-07,5.739746701657647e-07
01 Jul 1993,3.3441812957259373e-07,4.5640682178765843e-07,5.783955140027232e-07
01 Aug 1993,4.174070065202036e-07,4.181226885161789e-07,4.1883837051215426e-07
01 Sep 1993,6.358113845133163e-07,6.871785040292599e-07,7.385456235452036e-07
01 Oct 1993,1.1032221706164702e-06,1.1203271427189324e-06,1.1374321148213945e-06
01 Nov 1993,1.5800703633977005e-06,1.6632722542717336e-06,1.7464741451457668e-06
01 Dec 1993,1.6536885731381819e-06,1.776599927186889e-06,1.8995112812355962e-06
01 Jan 1994,1.8056746446126747e-06,1.8353528401955834e-06,1.865031035778492e-06
01 Feb 1994,2.053605164176129e-06,2.1864621524209386e-06,2.3193191406657484e-06
01 Mar 1994,1.8537458001778878e-06,1.93208412645253e-06,2.010422452727172e-06
01 Apr 1994,7.670348599878171e-07,1.0420808147297466e-06,1.317126769471676e-06
01 May 1994,1.0737595677800061e-06,1.1581501365525697e-06,1.242540705325133e-06
01 Jun 1994,6.805456611940695e-07,8.385233647416821e-07,9.965010682892948e-07
01 Jul 1994,4.997239135615517e-07,6.991884582211513e-07,8.986530028807507e-07
01 Aug 1994,5.114668300178747e-07,5.840448762905128e-07,6.56622922563151e-07
01 Sep 1994,7.686879487962336e-07,7.703790894345888e-07,7.720702300729439e-07
01 Oct 1994,1.113809589519956e-06,1.163153783505835e-06,1.212497977491714e-06
01 Nov 1994,1.8866950958719175e-06,1.931989192937153e-06,1.977283290002389e-06
01 Dec 1994,1.6127676330401994e-06,1.8193370825458928e-06,2.025906532051586e-06
01 Jan 1995,1.4924238668013002e-06,1.8601248985490469e-06,2.2278259302967935e-06
01 Feb 1995,2.4229626138552845e-06,2.443571669218321e-06,2.4641807245813573e-06
01 Mar 1995,1.0723771230985102e-06,1.195515354821831e-06,1.318653586545152e-06
01 Apr 1995,8.059155460414848e-07,1.2632539487430584e-06,1.7205923514446324e-06
01 May 1995,3.652250089430166e-07,6.631754396319308e-07,9.61125870320845e-07
01 Jun 1995,2.8853629294710874e-07,5.174991418306638e-07,7.464619907142189e-07
01 Jul 1995,2.663937845501835e-07,4.764417253531105e-07,6.864896661560376e-07
01 Aug 1995,3.3768210041961947e-07,4.591657490854507e-07,5.806493977512818e-07
01 Sep 1995,6.133374971488999e-07,7.73067258880462e-07,9.327970206120243e-07
01 Oct 1995,1.0849012878548814e-06,1.1551145847066863e-06,1.2253278815584911e-06
