Date,CHL (P2.5),CHL (P50),CHL (P97.5)
01 Jan 1993,1.552575727939296e-06,1.5955483399597823e-06,1.6385209519802686e-06
01 Feb 1993,1.7848554299817606e-06,1.8018770161398065e-06,1.8188986022978524e-06
01 Mar 1993,1.3860591779813567e-06,1.5518480519149832e-06,1.7176369258486098e-06
01 Apr 1993,5.489046464720872e-07,9.454753217093464e-07,1.3420459969466057e-06
01 May 1993,6.110137930434532e-07,7.570287639288308e-07,9.030437348142083e-07
01 Jun 1993,4.2648144134869755e-07,5.15644752610183e-07,6.048080638716685e-07
01 Jul 1993,3.340029543709639e-07,4.6015523279304643e-07,5.863075112151289e-07
01 Aug 1993,3.977969444663796e-07,4.145198162885137e-07,4.312426881106478e-07
01 Sep 1993,6.625929113758307e-07,7.163172481131553e-07,7.700415848504797e-07
01 Oct 1993,1.1329464649691766e-06,1.1404414970494856e-06,1.1479365291297948e-06
01 Nov 1993,1.5909573130001636e-06,1.6869065810045633e-06,1.7828558490089628e-06
01 Dec 1993,1.6900033110216372e-06,1.8160631161675184e-06,1.9421229213133993e-06
01 Jan 1994,1.848064711429279e-06,1.8506995221313156e-06,1.8533343328333522e-06
01 Feb 1994,2.0479517148242894e-06,2.218025529336314e-06,2.3880993438483385e-06
01 Mar 1994,1.960682256249769e-06,2.0056468313533598e-06,2.0506114064569505e-06
01 Apr 1994,8.194885431148451e-07,1.0890158811325587e-06,1.3585432191502723e-06
01 May 1994,1.1086697147258455e-06,1.1962909800302338e-06,1.283912245334622e-06
01 Jun 1994,7.059335669268033e-07,8.561996877960241e-07,1.0064658086652447e-06
01 Jul 1994,5.176401569016977e-07,7.098102304954741e-07,9.019803040892505e-07
01 Aug 1994,5.26754560603732e-07,5.875604862053191e-07,6.483664118069062e-07
01 Sep 1994,7.851450248598098e-07,7.878863796791836e-07,7.906277344985573e-07
01 Oct 1994,1.1469394372189512e-06,1.1873202096124425e-06,1.2277009820059338e-06
01 Nov 1994,1.9290623832284396e-06,1.96780249604345e-06,2.00654260885846e-06
01 Dec 1994,1.630820683672994e-06,1.8523782922045198e-06,2.0739359007360457e-06
01 Jan 1995,1.5212326103359666e-06,1.917287694459152e-06,2.3133427785823367e-06
01 Feb 1995,2.4824852570890487e-06,2.5143869912267574e-06,2.546288725364466e-06
01 Mar 1995,1.179558743479999e-06,1.3013050724984265e-06,1.423051401516854e-06
01 Apr 1995,8.821623912521574e-07,1.3641449370440028e-06,1.846127482835848e-06
01 May 1995,4.024352612589324e-07,7.138758896141837e-07,1.025316517969435e-06
01 Jun 1995,3.0673578501510987e-07,5.344977155452893e-07,7.622596460754688e-07
01 Jul 1995,2.5497127508800575e-07,4.736523807060834e-07,6.92333486324161e-07
01 Aug 1995,3.474218127269967e-07,4.7155942499674517e-07,5.956970372664936e-07
01 Sep 1995,6.399777771081843e-07,8.089172281612615e-07,9.778566792143388e-07
01 Oct 1995,1.1123277800208363e-06,1.202645407504376e-06,1.2929630349879156e-06
01 Nov 1995,1.625107646158807e-06,1.6415164667476858e-06,1.657925287336565e-06
01 Dec 1995,1.6796088248415698e-06,1.6817411258935765e-06,1.683873426945583e-06
01 Jan 1996,1.578845420726982e-06,1.6724827593267458e-06,1.7661200979265095e-06
01 Feb 1996,1.8062984701544678e-06,1.8326756763028201e-06,1.8590528824511724e-06
01 Mar 1996,1.1091636620991473e-06,1.2418023871584045e-06,1.3744411122176616e-06
