Date,CHL (P2.5),CHL (P50),CHL (P97.5)
01 Jan 1993,9.180417185285955e-07,9.204250962781672e-07,9.22808474027739e-07
01 Feb 1993,1.114121057926579e-06,1.181132255785716e-06,1.2481434536448533e-06
01 Mar 1993,2.058185404681638e-06,2.0657964393971086e-06,2.073407474112579e-06
01 Apr 1993,8.686850208184241e-07,1.2098467552734743e-06,1.5510084897285244e-06
01 May 1993,3.4598184499546583e-07,4.0151488867838016e-07,4.570479323612945e-07
01 Jun 1993,1.8549427316573395e-07,2.582272613627734e-07,3.309602495598128e-07
01 Jul 1993,1.7415900073444516e-07,2.000828050539066e-07,2.2600660937336805e-07
01 Aug 1993,1.8301636298256475e-07,2.4669314094196713e-07,3.1036991890136954e-07
01 Sep 1993,4.391618067110115e-07,4.621865247387574e-07,4.852112427665033e-07
01 Oct 1993,7.129725825518025e-07,7.868745534031369e-07,8.607765242544713e-07
01 Nov 1993,1.1128946518970476e-06,1.127844969478814e-06,1.1427952870605803e-06
01 Dec 1993,9.891053876486302e-07,1.0261468731464436e-06,1.063188358644257e-06
01 Jan 1994,9.213888579836968e-07,1.0046333850005592e-06,1.0878779120174217e-06
01 Feb 1994,1.173861969902903e-06,1.4218645825605634e-06,1.669867195218224e-06
01 Mar 1994,1.2729623377032751e-06,1.4267566357432341e-06,1.580550933783193e-06
01 Apr 1994,8.203994111300661e-07,8.381410546181201e-07,8.558826981061739e-07
01 May 1994,2.2664803483563154e-07,3.0610257775629857e-07,3.8555712067696557e-07
01 Jun 1994,1.7755978006139854e-07,3.425227014606392e-07,5.0748562285988e-07
01 Jul 1994,2.1419172327335044e-07,3.4540720467386743e-07,4.7662268607438436e-07
01 Aug 1994,1.5763055476444836e-07,1.6252662268226512e-07,1.6742269060008186e-07
01 Sep 1994,2.449282588659798e-07,2.86836657850347e-07,3.2874505683471416e-07
01 Oct 1994,8.106715518902951e-07,9.860426163043071e-07,1.161413680718319e-06
01 Nov 1994,1.2413345809094772e-06,1.2526560411574731e-06,1.263977501405469e-06
01 Dec 1994,8.727393280795212e-07,9.606298589945614e-07,1.0485203899096013e-06
01 Jan 1995,4.96464056695483e-07,6.148000292553637e-07,7.331360018152444e-07
01 Feb 1995,1.4076611161232832e-06,1.5870679384328973e-06,1.7664747607425117e-06
01 Mar 1995,1.7377010119873768e-06,1.7789461960851491e-06,1.8201913801829217e-06
01 Apr 1995,7.009444118107412e-07,1.0174799105083722e-06,1.3340154092060032e-06
01 May 1995,1.62016796527724e-08,3.240335930554492e-07,6.31865506458126e-07
01 Jun 1995,1.1726867075221506e-07,2.891848527639692e-07,4.611010347757233e-07
01 Jul 1995,8.100750429713236e-08,2.018806051327272e-07,3.22753705968322e-07
01 Aug 1995,5.4868151972996716e-08,1.056820630666066e-07,1.5649597416021648e-07
01 Sep 1995,3.914742886279786e-07,4.1267328422251413e-07,4.338722798170496e-07
01 Oct 1995,8.293320417984157e-07,8.866802496885577e-07,9.440284575786998e-07
01 Nov 1995,1.1232582682496887e-06,1.2013223234245668e-06,1.279386378599445e-06
01 Dec 1995,1.154576278790591e-06,1.1626829613073781e-06,1.1707896438241653e-06
01 Jan 1996,1.1074429129052347e-06,1.1453330267321783e-06,1.1832231405591218e-06
01 Feb 1996,1.5154575019730662e-06,1.6306227880336744e-06,1.7457880740942826e-06
01 Mar 1996,1.1716161170797713e-06,1.4507746550565352e-06,1.7299331930332992e-06
01 Apr 1996,9.812745855613483e-07,1.302637159005834e-06,1.6239997324503197e-06
01 May 1996,4.6796883373133357e-07,6.337881541984584e-07,7.996074746655833e-07
01 Jun 1996,3.270089596818572e-08,3.038028554102201e-07,5.749048148522545e-07
01 Jul 1996,1.2159104575102475e-07,1.4278502103041673e-07,1.639789963098087e-07
01 Aug 1996,1.403063399352832e-07,1.483069958664423e-07,1.563076517976014e-07
01 Sep 1996,4.3117364069575105e-07,4.884448237391098e-07,5.457160067824685e-07
01 Oct 1996,7.641727698068988e-07,7.899201532656713e-07,8.156675367244439e-07
01 Nov 1996,1.0902896947809566e-06,1.2164355175950158e-06,1.342581340409075e-06
01 Dec 1996,9.992922586171848e-07,1.0016739105551897e-06,1.0040555624931947e-06
01 Jan 1997,6.916800275161653e-07,7.443991049049136e-07,7.971181822936618e-07
01 Feb 1997,1.4213475465665517e-06,1.542802819575971e-06,1.6642580925853903e-06
01 Mar 1997,1.5460068175174314e-06,1.8479254310849142e-06,2.149844044652397e-06
01 Apr 1997,8.406067067153405e-07,8.448319256295775e-07,8.490571445438144e-07
01 May 1997,3.9119155887732384e-07,6.108648726555614e-07,8.305381864337989e-07
01 Jun 1997,3.837839365808645e-07,4.029326259663911e-07,4.220813153519177e-07
01 Jul 1997,1.722783496019169e-07,3.250007886964797e-07,4.777232277910425e-07
01 Aug 1997,1.8653093570296158e-07,2.8686717075291137e-07,3.872034058028611e-07
01 Sep 1997,3.464813484591477e-07,4.944229872097106e-07,6.423646259602735e-07
01 Oct 1997,7.815855842983042e-07,8.346232453624317e-07,8.876609064265592e-07
01 Nov 1997,1.1750664519919712e-06,1.2606569224150917e-06,1.3462473928382125e-06
01 Dec 1997,9.347176320021915e-07,9.75318690695582e-07,1.0159197493889726e-06
