Date,PH
1-Jan-1993,8.167175495
1-Feb-1993,8.172991116
1-Mar-1993,8.155683699
1-Apr-1993,8.129630918
1-May-1993,8.101137248
1-Jun-1993,8.081095064
1-Jul-1993,8.069661373
1-Aug-1993,8.086170183
1-Sep-1993,8.098775935
1-Oct-1993,8.114136954
1-Nov-1993,8.146037523
1-Dec-1993,8.160862413
1-Jan-1994,8.159848166
1-Feb-1994,8.169851696
1-Mar-1994,8.156825222
1-Apr-1994,8.127634784
1-May-1994,8.10253808
1-Jun-1994,8.083081853
1-Jul-1994,8.086158589
1-Aug-1994,8.081060969
1-Sep-1994,8.092604758
1-Oct-1994,8.123206454
1-Nov-1994,8.150509529
1-Dec-1994,8.168062458
1-Jan-1995,8.173411924
1-Feb-1995,8.164280816
1-Mar-1995,8.147460703
1-Apr-1995,8.111293353
1-May-1995,8.070862929
1-Jun-1995,8.046877341
1-Jul-1995,8.046019889
1-Aug-1995,8.050803569
1-Sep-1995,8.085619763
1-Oct-1995,8.124655905
1-Nov-1995,8.157310903
1-Dec-1995,8.161880206
1-Jan-1996,8.157937319
1-Feb-1996,8.152089542
1-Mar-1996,8.140167313
1-Apr-1996,8.109484874
1-May-1996,8.075895206
1-Jun-1996,8.046284574
1-Jul-1996,8.049818091
1-Aug-1996,8.041173279
1-Sep-1996,8.072235175
1-Oct-1996,8.121968949
1-Nov-1996,8.142198427
1-Dec-1996,8.152963761
1-Jan-1997,8.154768552
1-Feb-1997,8.152641988
1-Mar-1997,8.156947704
1-Apr-1997,8.123562962
1-May-1997,8.085032037
1-Jun-1997,8.044551567
1-Jul-1997,8.053856652
1-Aug-1997,8.065862494
1-Sep-1997,8.074096829
1-Oct-1997,8.106203516
1-Nov-1997,8.140071907
1-Dec-1997,8.151246197
1-Jan-1998,8.156149778
1-Feb-1998,8.166014219
1-Mar-1998,8.15017896
1-Apr-1998,8.10757443
1-May-1998,8.079054886
1-Jun-1998,8.066061042
1-Jul-1998,8.055192747
1-Aug-1998,8.059062604
1-Sep-1998,8.079357188
1-Oct-1998,8.121761624
1-Nov-1998,8.135498585
1-Dec-1998,8.140601142
1-Jan-1999,8.156512826
1-Feb-1999,8.170608909
1-Mar-1999,8.153205213
1-Apr-1999,8.119333184
1-May-1999,8.08301442
1-Jun-1999,8.048296243
1-Jul-1999,8.031160823
1-Aug-1999,8.032835126
1-Sep-1999,8.059199793
1-Oct-1999,8.096695955
1-Nov-1999,8.132344769
1-Dec-1999,8.149214869
1-Jan-2000,8.158707658
1-Feb-2000,8.160073616
1-Mar-2000,8.142401542
1-Apr-2000,8.117302062
1-May-2000,8.085601809
1-Jun-2000,8.060706469
1-Jul-2000,8.047649389
1-Aug-2000,8.051987855
1-Sep-2000,8.074522915
1-Oct-2000,8.109898844
1-Nov-2000,8.1420665
1-Dec-2000,8.150316807
1-Jan-2001,8.142886137
1-Feb-2001,8.14243496
1-Mar-2001,8.135037204
1-Apr-2001,8.100561304
1-May-2001,8.064547499
1-Jun-2001,8.044220383
1-Jul-2001,8.045391062
1-Aug-2001,8.05741472
1-Sep-2001,8.082469607
1-Oct-2001,8.109677915
1-Nov-2001,8.132984491
1-Dec-2001,8.144917603
1-Jan-2002,8.136775499
1-Feb-2002,8.148399103
1-Mar-2002,8.147730099
1-Apr-2002,8.119092966
1-May-2002,8.084226401
1-Jun-2002,8.054686568
1-Jul-2002,8.033719057
1-Aug-2002,8.037795703
1-Sep-2002,8.061393758
1-Oct-2002,8.09919239
1-Nov-2002,8.13687162
1-Dec-2002,8.131638857
1-Jan-2003,8.145531467
1-Feb-2003,8.146061719
1-Mar-2003,8.146870764
1-Apr-2003,8.111713667
1-May-2003,8.076027907
1-Jun-2003,8.048700133
1-Jul-2003,8.030953955
1-Aug-2003,8.032765439
1-Sep-2003,8.056658244
1-Oct-2003,8.08539531
1-Nov-2003,8.119896299
1-Dec-2003,8.133807653
1-Jan-2004,8.133399306
1-Feb-2004,8.140208942
1-Mar-2004,8.146880886
1-Apr-2004,8.111586441
1-May-2004,8.078565967
1-Jun-2004,8.050112111
1-Jul-2004,8.034186173
1-Aug-2004,8.023508547
1-Sep-2004,8.052677886
1-Oct-2004,8.082980811
1-Nov-2004,8.135589845
1-Dec-2004,8.134153292
1-Jan-2005,8.134823861
1-Feb-2005,8.141919854
1-Mar-2005,8.1306571
1-Apr-2005,8.086535142
1-May-2005,8.046456723
1-Jun-2005,8.02745618
1-Jul-2005,8.021001532
1-Aug-2005,8.021504113
1-Sep-2005,8.056024834
1-Oct-2005,8.08074092
1-Nov-2005,8.114741825
1-Dec-2005,8.140640502
1-Jan-2006,8.139086591
1-Feb-2006,8.135466993
1-Mar-2006,8.12639982
1-Apr-2006,8.089112838
1-May-2006,8.047514342
1-Jun-2006,8.021576153
1-Jul-2006,8.007042174
1-Aug-2006,8.006156091
1-Sep-2006,8.025810368
1-Oct-2006,8.07138176
1-Nov-2006,8.10949467
1-Dec-2006,8.123726304
1-Jan-2007,8.123080054
